iter	Passed	Remaining
0	0	898
1	1	795
2	2	736
3	2	718
4	5	1001
5	6	997
6	6	946
7	7	902
8	7	868
9	8	840
10	9	816
11	9	798
12	10	783
13	10	771
14	11	759
15	12	749
16	12	742
17	13	733
18	14	724
19	14	718
20	15	711
21	15	706
22	16	701
23	17	696
24	17	691
25	19	737
26	20	742
27	21	740
28	21	735
29	22	729
30	23	724
31	23	721
32	24	718
33	25	713
34	25	709
35	26	705
36	26	700
37	27	697
38	28	694
39	28	694
40	29	700
41	31	712
42	32	713
43	32	713
44	34	727
45	35	730
46	35	728
47	36	727
48	37	725
49	38	727
50	39	728
51	39	727
52	40	728
53	42	738
54	43	740
55	43	738
56	44	735
57	45	732
58	45	729
59	46	726
60	47	723
61	48	740
62	50	752
63	51	755
64	52	756
65	53	757
66	54	756
67	55	767
68	56	767
69	57	765
70	58	762
71	58	758
72	59	755
73	60	751
74	60	748
75	61	744
76	61	741
77	63	748
78	65	760
79	66	762
80	67	762
81	67	760
82	68	754
83	69	755
84	70	754
85	70	752
86	71	749
87	72	747
88	72	744
89	73	742
90	73	738
91	74	736
92	75	733
93	75	730
94	76	727
95	77	725
96	78	732
97	79	735
98	80	732
99	81	730
100	81	728
101	82	725
102	83	723
103	84	723
104	84	723
105	85	722
106	86	720
107	86	717
108	87	715
109	88	712
110	88	709
111	89	707
112	89	704
113	90	702
114	90	699
115	91	697
116	92	696
117	94	705
118	95	703
119	95	701
120	96	698
121	96	695
122	97	693
123	98	694
124	99	696
125	100	696
126	101	698
127	102	700
128	103	700
129	104	702
130	105	702
131	109	718
132	110	717
133	110	717
134	114	732
135	116	738
136	118	744
137	119	743
138	119	741
139	122	753
140	124	758
141	125	756
142	125	754
143	126	753
144	127	751
145	128	748
146	128	746
147	129	744
148	129	741
149	130	739
150	131	737
151	131	735
152	132	732
153	132	730
154	133	727
155	134	725
156	134	723
157	135	720
158	135	718
159	136	716
160	138	719
161	139	720
162	139	718
163	140	716
164	141	714
165	141	712
166	142	710
167	142	707
168	143	705
169	144	703
170	144	701
171	145	699
172	145	697
173	146	694
174	146	692
175	147	690
176	148	688
177	148	686
178	149	684
179	149	682
180	150	681
181	151	679
182	152	680
183	153	682
184	154	682
185	155	682
186	156	681
187	157	680
188	158	679
189	159	679
190	159	677
191	160	675
192	161	674
193	161	672
194	162	670
195	162	668
196	163	666
197	164	664
198	164	662
199	165	660
200	165	658
201	166	656
202	168	661
203	169	660
204	169	659
205	170	657
206	171	655
207	171	653
208	172	652
209	172	650
210	173	648
211	174	646
212	174	645
213	175	643
214	175	641
215	176	640
216	176	638
217	177	636
218	177	634
219	178	633
220	179	632
221	179	630
222	180	629
223	181	627
224	181	625
225	183	629
226	184	629
227	185	627
228	185	625
229	186	624
230	187	622
231	187	621
232	188	619
233	188	617
234	189	616
235	189	614
236	190	613
237	191	611
238	191	609
239	192	608
240	192	606
241	193	605
242	193	603
243	194	602
244	194	600
245	195	599
246	196	597
247	196	596
248	197	595
249	200	600
250	200	598
251	201	597
252	201	596
253	202	594
254	203	593
255	203	591
256	204	590
257	204	589
258	205	588
259	206	586
260	206	585
261	207	584
262	207	582
263	208	581
264	209	580
265	209	578
266	210	577
267	210	575
268	211	574
269	211	573
270	213	574
271	214	573
272	215	572
273	215	571
274	216	569
275	216	568
276	217	567
277	217	565
278	218	564
279	219	563
280	219	562
281	220	560
282	220	559
283	221	558
284	221	556
285	222	555
286	223	554
287	223	553
288	224	552
289	225	551
290	225	549
291	226	548
292	226	547
293	227	546
294	229	548
295	230	548
296	231	547
297	231	545
298	232	544
299	232	543
300	233	542
301	234	540
302	234	539
303	235	538
304	235	537
305	236	536
306	236	534
307	237	533
308	238	532
309	238	531
310	239	530
311	239	528
312	240	527
313	240	526
314	241	525
315	242	523
316	243	524
317	244	525
318	246	525
319	246	524
320	247	523
321	248	522
322	248	521
323	249	520
324	249	519
325	250	517
326	251	516
327	251	515
328	252	514
329	252	513
330	253	512
331	253	510
332	254	509
333	255	508
334	255	507
335	256	506
336	256	505
337	257	503
338	259	505
339	260	505
340	261	505
341	262	504
342	263	504
343	264	504
344	265	503
345	265	502
346	266	501
347	267	500
348	267	499
349	268	497
350	268	496
351	269	495
352	269	494
353	270	493
354	270	492
355	271	491
356	272	490
357	274	492
358	275	491
359	275	490
360	276	489
361	276	488
362	277	487
363	278	485
364	278	484
365	279	483
366	279	482
367	280	481
368	281	480
369	281	479
370	282	478
371	282	477
372	283	476
373	284	475
374	284	474
375	285	473
376	285	472
377	286	471
378	287	470
379	288	470
380	289	470
381	290	469
382	290	468
383	291	467
384	291	466
385	292	465
386	293	464
387	293	463
388	294	462
389	294	460
390	295	459
391	296	459
392	296	458
393	297	457
394	297	456
395	298	455
396	298	454
397	299	453
398	300	452
399	300	451
400	301	449
401	301	448
402	302	448
403	304	448
404	304	447
405	305	446
406	306	445
407	306	444
408	307	443
409	307	442
410	308	441
411	308	440
412	309	439
413	310	438
414	311	438
415	312	438
416	313	437
417	314	437
418	315	436
419	315	436
420	316	435
421	316	434
422	318	434
423	319	434
424	320	433
425	321	432
426	321	431
427	322	430
428	322	429
429	323	428
430	323	427
431	324	426
432	325	425
433	325	424
434	326	423
435	326	422
436	327	421
437	328	420
438	328	419
439	329	418
440	329	417
441	330	416
442	330	415
443	331	414
444	331	413
445	332	413
446	334	414
447	335	413
448	336	412
449	337	412
450	337	411
451	338	410
452	339	410
453	340	409
454	341	408
455	341	407
456	342	406
457	342	405
458	343	404
459	344	403
460	344	402
461	345	401
462	345	401
463	346	400
464	346	399
465	349	400
466	350	400
467	351	399
468	352	398
469	352	397
470	354	397
471	354	396
472	355	395
473	355	394
474	356	393
475	357	393
476	357	392
477	358	391
478	358	390
479	359	389
480	359	388
481	360	387
482	360	386
483	361	385
484	362	384
485	364	385
486	365	384
487	366	384
488	366	383
489	367	382
490	367	381
491	368	380
492	368	379
493	369	378
494	370	377
495	370	376
496	371	375
497	371	374
498	372	373
499	372	372
500	373	372
501	374	371
502	374	370
503	375	369
504	375	368
505	376	367
506	376	366
507	377	365
508	379	366
509	380	365
510	380	364
511	381	363
512	382	362
513	382	361
514	383	360
515	383	359
516	384	359
517	384	358
518	385	357
519	386	356
520	386	355
521	387	354
522	387	353
523	388	352
524	388	351
525	389	350
526	390	350
527	390	349
528	391	348
529	391	347
530	393	347
531	395	347
532	395	346
533	396	346
534	397	345
535	398	344
536	398	343
537	399	343
538	400	342
539	400	341
540	401	340
541	401	339
542	402	338
543	403	337
544	403	336
545	404	336
546	404	335
547	405	334
548	406	333
549	406	332
550	407	331
551	409	332
552	410	331
553	410	330
554	411	329
555	411	328
556	412	327
557	413	327
558	413	326
559	414	325
560	414	324
561	415	323
562	415	322
563	416	321
564	417	321
565	417	320
566	418	319
567	418	318
568	419	317
569	419	316
570	420	315
571	420	314
572	421	314
573	422	313
574	422	312
575	424	312
576	425	311
577	426	311
578	426	310
579	427	309
580	427	308
581	428	307
582	429	306
583	429	306
584	430	305
585	430	304
586	431	303
587	432	302
588	432	301
589	433	301
590	433	300
591	434	299
592	435	298
593	435	297
594	436	296
595	436	296
596	437	295
597	439	295
598	440	294
599	440	293
600	441	293
601	442	292
602	442	291
603	443	290
604	443	289
605	444	288
606	444	288
607	445	287
608	445	286
609	446	285
610	447	284
611	447	283
612	448	283
613	449	282
614	450	281
615	450	280
616	451	280
617	451	279
618	452	278
619	453	277
620	455	277
621	456	277
622	457	276
623	458	276
624	459	275
625	459	274
626	460	273
627	461	273
628	461	272
629	462	271
630	462	270
631	463	269
632	463	268
633	464	268
634	465	267
635	465	266
636	466	265
637	466	264
638	467	264
639	469	263
640	470	263
641	470	262
642	471	261
643	472	261
644	472	260
645	473	259
646	474	258
647	474	257
648	475	257
649	476	256
650	476	255
651	477	254
652	478	254
653	478	253
654	479	252
655	480	251
656	480	250
657	481	250
658	481	249
659	482	248
660	483	247
661	485	247
662	485	246
663	486	246
664	487	245
665	487	244
666	488	243
667	488	242
668	489	242
669	489	241
670	490	240
671	491	239
672	491	238
673	492	238
674	492	237
675	493	236
676	494	235
677	494	234
678	495	234
679	495	233
680	496	232
681	497	231
682	497	230
683	499	230
684	500	230
685	501	229
686	501	228
687	502	227
688	503	227
